incident_id,created_date,resolved_date,status,priority,resolution_time,category_id,service_id,client_id
92,2024-02-08 21:01:53,2024-02-09 04:01:53,Resolved,High,25200.0,2,4,41
93,2024-08-01 19:51:04,,In Progress,Critical,,1,3,32
94,2024-10-30 03:32:04,2024-11-05 09:32:04,Closed,Low,540000.0,1,4,93
95,2024-09-08 00:05:26,2024-09-11 19:05:26,Closed,Low,327600.0,2,2,59
96,2024-01-31 13:49:53,,In Progress,Medium,,1,2,37
97,2024-10-09 17:31:01,,Open,Low,,1,4,95
98,2024-03-19 22:34:28,2024-03-21 18:34:28,Resolved,Low,158400.0,1,5,14
99,2024-06-07 23:05:07,2024-06-08 00:05:07,Closed,Critical,3600.0,3,5,12
100,2024-07-27 08:09:11,,In Progress,Low,,2,1,42
101,2024-05-09 18:48:33,,In Progress,Critical,,2,4,80
102,2024-02-16 00:07:31,,Open,Low,,3,3,43
103,2024-10-31 08:45:28,2024-11-02 19:45:28,Closed,Medium,212400.0,3,4,31
104,2024-07-31 17:56:34,2024-08-06 15:56:34,Closed,Low,511200.0,4,1,34
105,2024-06-13 21:55:49,2024-06-14 05:55:49,Resolved,Low,28800.0,3,5,88
106,2024-02-14 21:36:09,2024-02-15 01:36:09,Closed,Critical,14400.0,4,5,10
107,2024-10-23 19:01:17,2024-10-25 17:01:17,Closed,Low,165600.0,1,2,1
108,2024-04-29 18:34:37,,In Progress,Low,,1,2,1
109,2024-04-30 23:03:37,,In Progress,Low,,1,3,42
110,2024-03-29 02:10:02,,Open,Critical,,2,1,92
111,2024-03-03 18:17:13,2024-03-07 16:17:13,Resolved,Low,338400.0,3,1,50
112,2024-05-14 13:55:44,2024-05-14 15:55:44,Resolved,Critical,7200.0,2,2,61
113,2024-07-11 22:39:39,2024-07-12 16:39:39,Resolved,High,64800.0,4,5,1
114,2024-04-12 09:06:53,2024-04-12 10:06:53,Closed,Critical,3600.0,2,1,77
115,2024-06-11 07:34:41,,Open,High,,2,2,71
116,2024-10-15 16:51:56,,Open,High,,4,2,87
117,2024-09-04 06:58:19,2024-09-04 08:58:19,Resolved,Critical,7200.0,2,5,66
118,2024-01-22 11:20:00,,In Progress,Low,,1,2,78
119,2024-02-24 02:53:02,,In Progress,High,,4,2,23
120,2024-09-10 17:04:32,,In Progress,Low,,3,1,58
121,2024-05-13 06:47:18,,Open,High,,2,5,13
122,2024-05-17 01:58:36,,Open,High,,1,2,81
123,2024-07-27 08:31:33,2024-07-27 14:31:33,Closed,Low,21600.0,2,4,74
124,2024-06-30 03:14:00,2024-07-04 08:14:00,Closed,Low,363600.0,1,1,5
125,2024-06-30 05:23:48,,In Progress,High,,3,3,72
126,2024-05-08 02:57:39,,Open,Low,,3,1,42
127,2024-09-20 17:56:59,,Open,Low,,2,5,23
128,2024-08-14 18:22:42,2024-08-15 07:22:42,Resolved,High,46800.0,4,4,89
129,2024-10-17 15:30:37,,In Progress,Low,,3,1,33
130,2024-09-17 22:20:48,,Open,Critical,,3,3,48
131,2024-07-21 12:06:42,2024-07-21 15:06:42,Closed,Critical,10800.0,2,2,60
132,2024-10-17 06:18:23,2024-10-17 08:18:23,Resolved,Medium,7200.0,4,2,42
133,2024-06-02 09:46:46,,Open,Critical,,4,3,71
134,2024-04-22 00:00:25,,In Progress,High,,3,1,36
135,2024-04-13 18:35:51,,Open,High,,1,1,31
136,2024-02-17 07:05:55,2024-02-17 21:05:55,Closed,High,50400.0,3,4,84
137,2024-10-26 01:21:41,,In Progress,Low,,4,4,43
138,2024-06-08 10:22:23,2024-06-15 10:22:23,Resolved,Low,604800.0,2,2,61
139,2024-01-17 07:42:27,2024-01-19 19:42:27,Closed,Medium,216000.0,1,3,46
140,2024-10-13 06:45:48,2024-10-13 09:45:48,Resolved,Critical,10800.0,2,4,91
141,2024-08-27 04:46:59,2024-09-01 15:46:59,Resolved,Low,471600.0,1,4,45
142,2024-10-29 02:03:48,2024-10-29 04:03:48,Closed,Critical,7200.0,4,1,15
143,2024-08-04 14:28:45,2024-08-04 16:28:45,Closed,High,7200.0,4,5,71
144,2024-03-02 17:22:41,,Open,High,,4,3,59
145,2024-09-21 17:42:02,,Open,Critical,,2,5,82
146,2024-02-24 02:21:17,2024-02-24 06:21:17,Closed,Critical,14400.0,2,2,99
147,2024-03-10 21:04:13,,In Progress,High,,1,1,59
148,2024-08-02 07:01:26,2024-08-03 07:01:26,Closed,High,86400.0,4,2,36
149,2024-02-04 23:09:56,,Open,Medium,,1,3,50
150,2024-02-11 14:38:47,2024-02-12 10:38:47,Resolved,High,72000.0,4,5,16
151,2024-04-29 17:55:17,2024-05-05 18:55:17,Resolved,Low,522000.0,1,1,81
152,2024-06-30 16:17:15,2024-06-30 20:17:15,Closed,Critical,14400.0,1,4,45
153,2024-08-13 04:55:21,2024-08-14 04:55:21,Closed,High,86400.0,4,2,77
154,2024-09-03 23:36:16,,In Progress,Medium,,3,2,62
155,2024-01-26 14:33:17,,In Progress,Medium,,4,1,25
156,2024-07-04 20:40:29,,Open,Critical,,1,3,56
157,2024-10-12 18:50:51,2024-10-12 21:50:51,Resolved,Critical,10800.0,3,4,52
158,2024-10-07 00:40:59,2024-10-07 04:40:59,Closed,Critical,14400.0,3,5,31
159,2024-10-20 22:48:01,,In Progress,Medium,,2,1,22
160,2024-04-09 00:37:42,,Open,Medium,,3,2,82
161,2024-10-19 16:21:50,,In Progress,Medium,,2,3,54
162,2024-10-17 07:41:56,,In Progress,Critical,,4,3,69
163,2024-01-09 19:59:09,,In Progress,Low,,1,1,85
164,2024-03-27 11:22:10,,In Progress,Critical,,3,2,23
165,2024-03-09 10:41:04,,In Progress,Critical,,4,4,22
166,2024-07-10 23:25:21,,Open,Critical,,3,2,62
167,2024-08-22 02:57:29,,Open,High,,2,4,66
168,2024-01-09 12:47:12,2024-01-10 12:47:12,Resolved,High,86400.0,2,1,42
169,2024-08-11 17:32:05,2024-08-14 02:32:05,Resolved,Medium,205200.0,2,4,41
170,2024-09-18 13:42:18,2024-09-19 02:42:18,Resolved,High,46800.0,2,2,30
171,2024-07-13 23:57:52,,Open,Medium,,3,2,24
172,2024-05-31 07:06:44,2024-05-31 10:06:44,Resolved,Critical,10800.0,4,4,73
173,2024-09-19 06:51:06,,Open,High,,1,3,41
174,2024-09-19 16:22:17,,In Progress,High,,1,2,41
175,2024-05-13 00:22:36,2024-05-13 01:22:36,Resolved,Critical,3600.0,1,3,34
176,2024-05-01 02:57:12,,In Progress,Medium,,2,3,8
177,2024-09-21 10:26:05,,Open,Low,,1,2,1
178,2024-06-07 07:08:27,2024-06-07 09:08:27,Closed,Medium,7200.0,1,2,23
179,2024-10-11 12:21:45,2024-10-17 20:21:45,Resolved,Low,547200.0,1,4,90
180,2024-03-18 03:24:31,,Open,Medium,,1,5,90
181,2024-06-29 06:24:44,,Open,High,,4,1,31
182,2024-04-08 11:49:59,2024-04-14 23:49:59,Closed,Low,561600.0,1,1,88
183,2024-06-24 21:36:00,2024-06-25 20:36:00,Resolved,High,82800.0,4,3,97
184,2024-04-19 13:49:07,2024-04-21 17:49:07,Resolved,Low,187200.0,2,5,81
185,2024-03-27 10:45:37,2024-03-30 02:45:37,Closed,Medium,230400.0,2,3,81
186,2024-01-13 13:05:28,,Open,High,,3,4,76
187,2024-09-28 14:43:25,,Open,Medium,,1,3,43
188,2024-08-05 04:58:42,,In Progress,High,,4,1,79
189,2024-01-04 16:15:30,2024-01-05 10:15:30,Resolved,High,64800.0,3,5,19
190,2024-05-06 04:56:29,,Open,Low,,4,4,99
191,2024-01-12 00:29:57,,Open,Low,,1,3,15
192,2024-01-22 09:21:40,2024-01-25 05:21:40,Resolved,Medium,244800.0,2,2,94
193,2024-06-09 04:34:42,,Open,Low,,1,5,91
194,2024-07-13 18:01:22,,Open,Critical,,1,3,64
195,2024-05-15 15:15:52,2024-05-17 01:15:52,Closed,Low,122400.0,1,4,92
196,2024-06-28 00:56:13,2024-06-28 01:56:13,Resolved,Critical,3600.0,4,5,98
197,2024-06-22 10:13:35,,In Progress,Low,,1,4,76
198,2024-01-29 11:28:04,2024-01-29 15:28:04,Resolved,Critical,14400.0,2,1,49
199,2024-02-07 06:02:32,2024-02-07 10:02:32,Resolved,High,14400.0,1,2,97
200,2024-02-24 19:15:54,2024-02-24 21:15:54,Resolved,Critical,7200.0,1,2,74
201,2024-05-03 09:42:55,2024-05-04 14:42:55,Resolved,Medium,104400.0,1,5,41
202,2024-03-05 21:39:01,2024-03-06 00:39:01,Closed,Critical,10800.0,2,2,56
203,2024-06-06 17:49:04,,Open,High,,4,2,24
204,2024-06-19 06:12:51,2024-06-20 01:12:51,Resolved,Medium,68400.0,4,1,38
205,2024-03-26 07:03:37,,Open,Critical,,2,4,54
206,2024-10-12 16:05:36,,Open,Medium,,2,3,27
207,2024-01-04 21:28:37,2024-01-04 23:28:37,Closed,Critical,7200.0,3,3,76
208,2024-02-29 17:11:53,,In Progress,Medium,,1,3,33
209,2024-04-07 07:20:44,2024-04-10 12:20:44,Closed,Low,277200.0,2,2,94
210,2024-04-23 23:32:24,,Open,Medium,,4,1,57
211,2024-07-20 23:36:50,,In Progress,Medium,,2,5,61
212,2024-08-13 09:45:28,2024-08-16 10:45:28,Resolved,Low,262800.0,1,3,6
213,2024-01-10 23:15:56,,In Progress,Medium,,4,5,42
214,2024-06-29 19:19:39,2024-06-29 23:19:39,Resolved,Critical,14400.0,4,3,49
215,2024-01-09 20:49:09,,In Progress,Low,,3,4,7
216,2024-05-27 19:32:03,2024-05-27 21:32:03,Closed,Critical,7200.0,2,4,4
217,2024-02-18 12:31:54,2024-02-25 07:31:54,Resolved,Low,586800.0,1,4,11
218,2024-08-04 13:07:37,2024-08-05 07:07:37,Closed,High,64800.0,1,3,50
219,2024-09-05 00:57:11,,Open,High,,1,4,24
220,2024-08-29 22:19:47,,Open,Medium,,4,3,78
221,2024-02-19 04:35:56,2024-02-24 19:35:56,Resolved,Low,486000.0,3,4,80
222,2024-09-28 18:58:23,2024-09-29 16:58:23,Closed,Low,79200.0,1,3,30
223,2024-08-12 13:53:29,2024-08-12 17:53:29,Resolved,Critical,14400.0,2,1,29
224,2024-01-17 16:21:31,2024-01-18 08:21:31,Resolved,High,57600.0,1,2,18
225,2024-07-11 14:46:48,2024-07-11 18:46:48,Closed,Critical,14400.0,2,1,55
226,2024-08-01 15:45:10,,In Progress,Medium,,2,2,69
227,2024-08-17 20:07:17,,In Progress,High,,4,3,30
228,2024-07-27 10:11:35,,In Progress,Medium,,4,5,86
229,2024-04-06 04:23:43,,Open,Medium,,2,5,44
230,2024-02-21 02:41:47,2024-02-22 20:41:47,Resolved,Medium,151200.0,1,1,79
231,2024-04-05 23:06:45,,In Progress,High,,2,3,35
232,2024-08-13 20:55:30,,Open,Low,,1,5,1
233,2024-02-06 04:19:48,,In Progress,High,,3,5,78
234,2024-04-22 19:43:32,2024-04-24 05:43:32,Resolved,Medium,122400.0,2,1,17
235,2024-02-13 17:33:23,2024-02-14 09:33:23,Closed,Medium,57600.0,3,1,23
236,2024-01-22 03:19:53,2024-01-23 22:19:53,Closed,Medium,154800.0,1,4,11
237,2024-07-05 16:28:03,,Open,Critical,,2,1,21
238,2024-08-31 17:18:16,2024-08-31 21:18:16,Closed,High,14400.0,2,5,29
239,2024-05-01 00:19:47,,Open,High,,2,2,59
240,2024-10-01 17:39:37,2024-10-01 21:39:37,Closed,Critical,14400.0,4,2,2
241,2024-05-10 19:50:34,2024-05-10 22:50:34,Resolved,Critical,10800.0,3,5,28
242,2024-08-27 10:52:41,,Open,Low,,3,1,66
243,2024-05-11 22:19:59,2024-05-12 07:19:59,Resolved,High,32400.0,1,3,52
244,2024-07-23 18:17:21,,In Progress,Medium,,1,2,16
245,2024-01-17 21:47:57,2024-01-18 00:47:57,Resolved,Critical,10800.0,3,4,36
246,2024-10-28 04:04:43,,Open,Critical,,2,2,62
247,2024-05-14 13:35:39,,Open,Low,,4,3,21
248,2024-01-11 19:45:18,2024-01-16 00:45:18,Closed,Low,363600.0,4,2,68
249,2024-08-15 12:11:19,,In Progress,Medium,,2,2,35
250,2024-08-26 22:32:02,2024-08-26 23:32:02,Resolved,Critical,3600.0,3,2,8
251,2024-04-21 00:57:16,,In Progress,Critical,,1,2,93
252,2024-10-15 18:53:20,,Open,Medium,,4,2,75
253,2024-07-30 10:11:55,2024-07-31 17:11:55,Closed,Low,111600.0,1,4,63
254,2024-06-04 12:15:11,2024-06-10 05:15:11,Resolved,Low,493200.0,1,4,5
255,2024-02-03 17:33:58,,Open,Low,,4,2,31
256,2024-10-15 17:00:23,2024-10-17 23:00:23,Resolved,Low,194400.0,4,3,89
257,2024-03-18 23:12:20,2024-03-19 19:12:20,Resolved,Low,72000.0,2,3,28
258,2024-08-06 00:10:15,2024-08-12 15:10:15,Resolved,Low,572400.0,1,3,81
259,2024-04-05 09:51:19,,Open,Critical,,3,3,30
260,2024-03-21 20:42:12,,In Progress,Critical,,2,4,94
261,2024-09-24 16:54:27,2024-09-28 02:54:27,Closed,Low,295200.0,4,3,9
262,2024-07-31 08:15:19,2024-08-04 00:15:19,Resolved,Low,316800.0,1,3,55
263,2024-04-13 22:39:05,2024-04-14 04:39:05,Closed,Medium,21600.0,1,1,50
264,2024-07-12 09:48:01,,Open,Medium,,1,3,40
265,2024-01-18 22:36:32,2024-01-19 14:36:32,Resolved,High,57600.0,2,5,18
266,2024-02-19 11:36:55,2024-02-19 23:36:55,Resolved,High,43200.0,1,2,94
267,2024-07-26 12:30:59,,Open,Medium,,4,5,97
268,2024-04-20 17:54:21,2024-04-20 19:54:21,Resolved,High,7200.0,2,3,95
269,2024-08-26 23:23:09,2024-08-27 06:23:09,Closed,Medium,25200.0,2,1,39
270,2024-09-20 10:21:49,,In Progress,Medium,,3,1,39
271,2024-06-15 10:57:20,2024-06-15 12:57:20,Closed,High,7200.0,1,5,81
272,2024-08-14 06:26:11,2024-08-15 05:26:11,Closed,High,82800.0,2,4,59
273,2024-06-25 18:22:00,2024-06-25 20:22:00,Resolved,Critical,7200.0,3,2,64
274,2024-04-21 10:44:34,,Open,High,,2,1,42
275,2024-09-12 20:22:59,2024-09-13 18:22:59,Resolved,High,79200.0,4,1,68
276,2024-03-15 14:04:00,2024-03-17 15:04:00,Closed,Medium,176400.0,1,3,37
277,2024-03-02 07:02:20,2024-03-02 23:02:20,Closed,High,57600.0,3,4,91
278,2024-05-21 05:56:42,,In Progress,Medium,,2,3,78
279,2024-02-02 16:56:46,2024-02-04 02:56:46,Resolved,Medium,122400.0,4,1,70
280,2024-01-28 10:09:55,2024-01-29 06:09:55,Resolved,High,72000.0,2,1,96
281,2024-03-25 11:39:12,2024-03-25 12:39:12,Resolved,High,3600.0,2,2,73
282,2024-10-22 04:31:28,,In Progress,Medium,,1,4,45
283,2024-04-16 05:55:34,,Open,Critical,,1,3,29
284,2024-10-13 05:59:51,,In Progress,Low,,3,2,49
285,2024-06-06 23:29:01,2024-06-07 03:29:01,Closed,Critical,14400.0,4,4,63
286,2024-09-16 15:45:45,,In Progress,High,,1,5,32
287,2024-04-11 05:51:31,,Open,Critical,,1,2,43
288,2024-10-27 07:53:25,2024-10-27 13:53:25,Closed,Medium,21600.0,2,5,54
289,2024-07-14 12:16:26,2024-07-14 16:16:26,Resolved,High,14400.0,1,1,36
290,2024-08-17 20:41:57,2024-08-18 15:41:57,Resolved,Low,68400.0,2,2,46
291,2024-09-26 04:10:52,2024-09-26 08:10:52,Closed,Critical,14400.0,2,2,16
292,2024-10-16 09:58:17,,Open,Low,,1,3,69
293,2024-07-03 08:44:34,2024-07-03 12:44:34,Closed,High,14400.0,4,5,1
294,2024-01-08 08:28:39,,Open,High,,4,2,96
295,2024-10-26 12:33:47,,In Progress,Medium,,1,5,48
296,2024-03-27 18:31:24,2024-03-31 08:31:24,Resolved,Low,309600.0,2,4,69
297,2024-04-10 09:45:40,2024-04-10 13:45:40,Closed,Critical,14400.0,2,2,81
298,2024-03-10 04:44:51,2024-03-10 16:44:51,Resolved,Low,43200.0,4,5,78
299,2024-04-30 06:14:27,2024-04-30 09:14:27,Closed,Critical,10800.0,3,4,83
300,2024-09-16 05:22:16,2024-09-17 01:22:16,Resolved,Medium,72000.0,2,4,95
301,2024-03-05 14:01:56,,Open,Critical,,4,2,75
302,2024-03-02 15:02:51,2024-03-03 12:02:51,Resolved,High,75600.0,1,4,31
303,2024-03-27 21:19:44,,In Progress,Low,,1,4,73
304,2024-06-16 00:45:45,,In Progress,High,,2,4,56
305,2024-05-18 02:22:01,,In Progress,Medium,,1,1,32
306,2024-02-16 07:05:56,,Open,High,,3,5,56
307,2024-03-17 20:30:38,,In Progress,Critical,,4,5,7
308,2024-07-15 19:13:37,,Open,High,,2,2,41
309,2024-01-28 11:56:52,2024-01-28 15:56:52,Resolved,Critical,14400.0,4,4,84
310,2024-02-19 02:00:19,2024-02-19 04:00:19,Resolved,Low,7200.0,3,1,5
311,2024-04-26 03:11:52,2024-05-02 08:11:52,Resolved,Low,536400.0,2,2,52
312,2024-05-16 16:50:20,2024-05-16 20:50:20,Closed,Medium,14400.0,3,4,75
313,2024-04-26 11:20:04,,Open,High,,1,3,72
314,2024-08-26 12:47:14,2024-08-26 16:47:14,Resolved,Critical,14400.0,1,2,23
315,2024-09-07 05:13:14,,In Progress,High,,1,3,26
316,2024-08-27 19:15:40,,In Progress,Medium,,3,3,13
317,2024-04-03 17:03:42,,In Progress,Medium,,3,2,33
318,2024-06-12 12:48:29,,Open,Low,,4,1,50
319,2024-09-24 23:06:19,2024-09-25 00:06:19,Resolved,Critical,3600.0,1,3,27
320,2024-05-20 17:19:51,2024-05-23 01:19:51,Closed,Medium,201600.0,3,3,95
321,2024-09-10 11:41:47,,In Progress,Medium,,2,4,98
322,2024-09-18 22:49:56,,In Progress,Critical,,3,3,61
323,2024-10-03 12:26:15,,Open,Low,,2,1,10
324,2024-03-29 20:13:00,,In Progress,Medium,,4,4,13
325,2024-10-10 11:26:39,2024-10-12 17:26:39,Closed,Medium,194400.0,3,3,32
326,2024-02-20 21:39:12,2024-02-21 03:39:12,Resolved,Low,21600.0,3,2,92
327,2024-10-05 19:11:53,2024-10-05 23:11:53,Closed,Critical,14400.0,2,5,69
328,2024-04-19 09:25:59,2024-04-23 19:25:59,Resolved,Low,381600.0,4,1,60
329,2024-04-25 00:16:59,2024-04-25 10:16:59,Resolved,Medium,36000.0,3,1,87
330,2024-05-12 15:37:13,2024-05-12 19:37:13,Closed,Medium,14400.0,4,3,32
331,2024-02-21 08:06:44,,In Progress,Critical,,4,2,20
332,2024-07-07 08:58:47,,Open,Medium,,2,3,38
333,2024-09-19 10:28:05,2024-09-20 20:28:05,Resolved,Low,122400.0,3,4,84
334,2024-10-12 15:14:39,2024-10-12 17:14:39,Resolved,Critical,7200.0,2,4,61
335,2024-04-03 23:37:01,2024-04-04 21:37:01,Resolved,High,79200.0,2,4,19
336,2024-06-16 23:38:45,,In Progress,Critical,,2,5,50
337,2024-08-07 06:18:30,2024-08-07 07:18:30,Resolved,Critical,3600.0,4,4,86
338,2024-10-12 18:09:51,,In Progress,High,,1,1,31
339,2024-07-05 04:05:14,2024-07-08 20:05:14,Closed,Low,316800.0,1,1,44
340,2024-05-28 08:16:17,2024-06-04 03:16:17,Resolved,Low,586800.0,4,1,63
341,2024-03-26 13:04:55,,In Progress,Medium,,1,3,19
342,2024-01-19 03:40:23,2024-01-21 19:40:23,Closed,Medium,230400.0,4,5,5
343,2024-01-07 20:54:29,,In Progress,Critical,,4,1,42
344,2024-07-25 17:56:59,,Open,Low,,2,4,21
345,2024-09-18 08:47:21,2024-09-19 17:47:21,Resolved,Medium,118800.0,3,4,20
346,2024-09-18 16:02:18,2024-09-22 10:02:18,Resolved,Low,324000.0,1,3,5
347,2024-09-12 20:26:50,,In Progress,Critical,,2,1,25
348,2024-03-16 08:13:12,,In Progress,Critical,,3,5,36
349,2024-09-25 17:44:21,,In Progress,Low,,4,5,54
350,2024-10-11 19:35:58,,In Progress,High,,3,1,79
351,2024-03-16 17:00:00,,In Progress,Medium,,3,5,55
352,2024-01-02 06:53:56,,In Progress,Medium,,1,3,74
353,2024-07-19 18:38:01,2024-07-20 15:38:01,Closed,High,75600.0,4,4,35
354,2024-06-05 15:16:26,2024-06-06 01:16:26,Resolved,High,36000.0,4,2,18
355,2024-08-08 18:04:01,2024-08-11 14:04:01,Closed,Medium,244800.0,4,2,60
356,2024-02-15 03:22:24,2024-02-15 16:22:24,Resolved,High,46800.0,3,1,19
357,2024-06-24 22:46:15,,Open,Medium,,2,4,78
358,2024-07-31 12:16:43,,Open,Critical,,1,3,24
359,2024-05-23 05:57:45,2024-05-24 03:57:45,Resolved,High,79200.0,4,2,21
360,2024-10-06 20:52:20,2024-10-10 08:52:20,Resolved,Low,302400.0,2,3,39
361,2024-06-22 15:24:42,,In Progress,Medium,,1,1,68
